No,,Ligação,,,Transporte de passageiros,
"",,Denominação,ida pass,,volta pass pass total,pass.km
"",CENTRO-OESTE,,358.046,,376.954 735.000,279.930.428
"",,,,,,
253,UBERABA (MG) - SAO JOSE DOS CAMPOS (SP),1.006,1.760,2.766,1.530.428
254,UBERLANDIA (MG) - BARRA MANSA (RJ),853,861,1.714,1.511.919
255,UBERLANDIA (MG) - CAMPINAS (SP),8.911,8.046,16.957,8.815.944
256,UBERLANDIA (MG) - FRANCA (SP),5.557,5.280,10.837,2.912.986
257,UBERLANDIA (MG) - SAO JOSE DOS CAMPOS (SP),980,1.504,2.484,1.648.879
258,VITORIA (ES) - BARRA MANSA (RJ),7.830,5.625,13.455,8.484.723
259,VITORIA (ES) - NITEROI (RJ),15.600,15.734,31.334,15.821.871
260,VITORIA (ES) - SAO JOSE DOS CAMPOS (SP),2.694,5.126,7.820,6.587.017
261,VITORIA (ES) - TEOFILO OTONI (MG),4.918,5.073,9.991,5.478.065
262,VITORIA (ES) - UBERLANDIA (MG),23,28,51,54.575
263,VITORIA (ES) - VOLTA REDONDA (RJ),38,8,46,28.962
264,VOLTA REDONDA (RJ) - JUIZ DE FORA (MG),3.983,3.874,7.857,1.586.328
265,VOLTA REDONDA (RJ) - SAO JOSE DOS CAMPOS (SP),4.299,6.291,10.590,2.421.933
"",SUL,841.869,849.416,1.691.285,613.290.059
"",,,,,
266,BLUMENAU (SC) - CASCAVEL (PR),1.940,1.918,3.858,2.977.133
267,BLUMENAU (SC) - FOZ DO IGUACU (PR),3.886,3.724,7.610,6.610.611
268,BLUMENAU (SC) - PASSO FUNDO (RS),430,514,944,473.207
269,CHAPECO (SC) - CASCAVEL (PR),2.730,3.005,5.735,2.104.807
270,CHAPECO (SC) - FOZ DO IGUACU (PR),1.756,1.751,3.507,1.619.371
271,CRICIUMA (SC) - CASCAVEL (PR),1.577,1.169,2.746,2.668.637
272,CRICIUMA (SC) - FOZ DO IGUACU (PR),1.769,1.659,3.428,3.703.650
273,CRICIUMA (SC) - LONDRINA (PR),4,9,13,11.809
274,CRICIUMA (SC) - PONTA GROSSA (PR),2,7,9,5.601
275,CURITIBA (PR) - BLUMENAU (SC),54.508,55.358,109.866,25.455.987
276,CURITIBA (PR) - CHAPECO (SC),14.578,13.270,27.848,13.402.184
277,CURITIBA (PR) - CRICIUMA (SC),7.660,9.187,16.847,8.454.884
278,CURITIBA (PR) - FLORIANOPOLIS (SC),95.981,95.288,191.269,60.632.273
279,CURITIBA (PR) - ITAJAI (SC),56.700,50.366,107.066,24.635.887
280,CURITIBA (PR) - JOINVILLE (SC),173.191,180.188,353.379,46.692.642
281,CURITIBA (PR) - LAGES (SC),25.522,17.713,43.235,15.724.570
282,CURITIBA (PR) - PASSO FUNDO (RS),5.901,5.881,11.782,6.485.021
283,CURITIBA (PR) - PORTO ALEGRE (RS),40.217,39.047,79.264,60.665.549
284,FLORIANOPOLIS (SC) - CASCAVEL (PR),6.701,5.583,12.284,10.480.093
285,FLORIANOPOLIS (SC) - CRICIUMA (SC),5.181,5.603,10.784,2.265.357
286,FLORIANOPOLIS (SC) - FOZ DO IGUACU (PR),9.866,9.690,19.556,19.090.642
287,FLORIANOPOLIS (SC) - PASSO FUNDO (RS),1.662,1.367,3.029,1.933.108
288,ITAJAI (SC) - CASCAVEL (PR),2,1,3,2.486
289,ITAJAI (SC) - FLORIANOPOLIS (SC),22.006,20.397,42.403,4.405.672
