UF,Cidade1,Cidade2,Estado1,Estado2,Ida,Volta,Total,pass.km
247,UBERABA,MG,ARACATUBA,SP,466,456,922,392219
248,UBERABA,MG,BARRA MANSA,RJ,383,358,741,571756
249,UBERABA,MG,BARRETOS,SP,5482,5357,10839,1710775
250,UBERABA,MG,CAMPINAS,SP,9284,9100,18384,7526410
251,UBERABA,MG,FRANCA,SP,6486,7414,13900,2009249
252,UBERABA,MG,PRESPRUDENTE,SP,1110,961,2071,1126624
253,UBERABA,MG,SAO JOSE DOS CAMPOS,SP,1006,1760,2766,1530428
254,UBERLANDIA,MG,BARRA MANSA,RJ,853,861,1714,1511919
255,UBERLANDIA,MG,CAMPINAS,SP,8911,8046,16957,8815944
256,UBERLANDIA,MG,FRANCA,SP,5557,5280,10837,2912986
257,UBERLANDIA,MG,SAO JOSE DOS CAMPOS,SP,980,1504,2484,1648879
258,VITORIA,ES,BARRA MANSA,RJ,7830,5625,13455,8484723
259,VITORIA,ES,NITEROI,RJ,15600,15734,31334,15821871
260,VITORIA,ES,SAO JOSE DOS CAMPOS,SP,2694,5126,7820,6587017
261,VITORIA,ES,TEOFILO OTONI,MG,4918,5073,9991,5478065
262,VITORIA,ES,UBERLANDIA,MG,23,28,51,54575
263,VITORIA,ES,VOLTA REDONDA,RJ,38,8,46,28962
264,VOLTA REDONDA,RJ,JUIZ DE FORA,MG,3983,3874,7857,1586328
265,VOLTA REDONDA,RJ,SAO JOSE DOS CAMPOS,SP,4299,6291,10590,2421933
266,BLUMENAU,SC,CASCAVEL,PR,1940,1918,3858,2977133
267,BLUMENAU,SC,FOZ DO IGUACU,PR,3886,3724,7610,6610611
268,BLUMENAU,SC,PASSO FUNDO,RS,430,514,944,473207
269,CHAPECO,SC,CASCAVEL,PR,2730,3005,5735,2104807
270,CHAPECO,SC,FOZ DO IGUACU,PR,1756,1751,3507,1619371
271,CRICIUMA,SC,CASCAVEL,PR,1577,1169,2746,2668637
272,CRICIUMA,SC,FOZ DO IGUACU,PR,1769,1659,3428,3703650
